iter	Passed	Remaining
400	25887	6391
401	25965	6329
402	26026	6264
403	26086	6198
404	26194	6144
405	26261	6080
406	26319	6014
407	26391	5950
408	26465	5888
409	26554	5828
410	26629	5766
411	26699	5702
412	26762	5637
413	26842	5575
414	26942	5518
415	27041	5460
416	27131	5400
417	27220	5339
418	27303	5278
419	27408	5220
420	27510	5162
421	27589	5099
422	27670	5037
423	27739	4972
424	27797	4905
425	27864	4840
426	27926	4774
427	27991	4708
428	28052	4642
429	28118	4577
430	28185	4512
431	28278	4451
432	28352	4387
433	28420	4322
434	28482	4256
435	28548	4190
436	28642	4129
437	28735	4067
438	28797	4001
439	28881	3938
440	28980	3877
441	29069	3814
442	29149	3750
443	29235	3687
444	29301	3621
445	29410	3560
446	29492	3496
447	29585	3434
448	29659	3368
449	29726	3302
450	29821	3240
451	29896	3174
452	29995	3112
453	30085	3048
454	30159	2982
455	30268	2920
456	30334	2854
457	30413	2788
458	30492	2723
459	30568	2658
460	30645	2592
461	30746	2528
462	30835	2464
463	30905	2397
464	30973	2331
465	31065	2266
466	31157	2201
467	31224	2135
468	31295	2068
469	31359	2001
470	31456	1936
471	31518	1869
472	31594	1803
473	31673	1737
474	31739	1670
475	31829	1604
476	31893	1537
477	31984	1472
478	32062	1405
479	32144	1339
480	32226	1272
481	32299	1206
482	32375	1139
483	32469	1073
484	32539	1006
485	32595	938
486	32672	872
487	32748	805
488	32832	738
489	32896	671
490	32958	604
491	33044	537
492	33126	470
493	33211	403
494	33312	336
495	33401	269
496	33464	202
497	33529	134
498	33592	67
499	33679	0
