iter	Passed	Remaining
0	17	1384
1	48	1882
2	98	2533
3	146	2774
4	209	3139
5	258	3190
6	310	3233
7	354	3194
8	394	3109
9	431	3022
10	488	3064
11	530	3005
12	559	2882
13	604	2851
14	661	2865
15	701	2804
16	740	2744
17	784	2701
18	835	2681
19	882	2646
20	926	2604
21	970	2558
22	1008	2499
23	1047	2445
24	1086	2391
25	1128	2343
26	1191	2338
27	1248	2318
28	1295	2277
29	1339	2232
30	1400	2214
31	1450	2176
32	1505	2143
33	1563	2114
34	1609	2069
35	1667	2038
36	1736	2017
37	1819	2010
38	1876	1972
39	1928	1928
40	1979	1883
41	2021	1828
42	2068	1780
43	2117	1732
44	2179	1695
45	2244	1658
46	2315	1626
47	2358	1572
48	2396	1516
49	2434	1460
50	2476	1407
51	2516	1355
52	2567	1307
53	2611	1257
54	2665	1211
55	2716	1164
56	2788	1125
57	2835	1075
58	2884	1026
59	2934	978
60	2982	928
61	3030	879
62	3103	837
63	3151	787
64	3206	740
65	3265	692
66	3316	643
67	3365	593
68	3413	544
69	3466	495
70	3516	445
71	3566	396
72	3606	345
73	3647	295
74	3702	246
75	3746	197
76	3786	147
77	3827	98
78	3867	48
79	3911	0
