iter	Logloss
0	0.3030021131
1	0.232340196
2	0.2032396582
3	0.1889832773
4	0.1814305686
5	0.1786189268
6	0.1761284725
7	0.1746213827
8	0.1736126134
9	0.1731600089
10	0.172398358
11	0.1723192082
12	0.1717742762
13	0.1703433297
14	0.1696641991
15	0.1689315776
16	0.1680316974
17	0.167882087
18	0.166669509
19	0.1660358593
20	0.1657582556
21	0.1650795919
22	0.1643881568
23	0.1634139486
24	0.1629280426
25	0.162836715
26	0.1626482407
27	0.1620695356
28	0.160587746
29	0.1601835067
30	0.1597867738
31	0.1591014613
32	0.1584244127
33	0.1579030234
34	0.1576114714
35	0.1572887148
36	0.1567886583
37	0.1558948336
38	0.1554078081
39	0.1551173438
40	0.15456224
41	0.1542354809
42	0.1537022692
43	0.153544932
44	0.1534457652
45	0.1527232577
46	0.1519402392
47	0.1515470057
48	0.1510959522
49	0.151018692
50	0.1507297985
51	0.1502082792
52	0.149716523
53	0.1493944174
54	0.148923907
55	0.1482803039
56	0.1473414534
57	0.1469144472
58	0.1463401329
59	0.1457578157
60	0.1447765487
61	0.1444078674
62	0.1442432618
63	0.1442265409
64	0.1435978688
65	0.1434017603
66	0.1425837743
67	0.1424711937
68	0.1418821379
69	0.1415081955
70	0.1413144986
71	0.141062364
72	0.140507668
73	0.1404298207
74	0.1400001576
75	0.139438095
76	0.13912578
77	0.1385275583
78	0.1381523007
79	0.1379827896
