iter	Passed	Remaining
0	22	1811
1	51	2020
2	76	1955
3	133	2533
4	183	2751
5	230	2840
6	275	2870
7	320	2880
8	361	2852
9	404	2828
10	454	2850
11	498	2824
12	545	2811
13	587	2769
14	654	2835
15	705	2821
16	750	2780
17	800	2758
18	851	2732
19	902	2706
20	952	2676
21	1003	2644
22	1052	2609
23	1099	2565
24	1150	2530
25	1197	2486
26	1240	2435
27	1288	2392
28	1329	2337
29	1371	2285
30	1414	2236
31	1469	2203
32	1520	2164
33	1561	2112
34	1601	2059
35	1659	2028
36	1705	1981
37	1759	1944
38	1804	1896
39	1847	1847
40	1884	1793
41	1923	1740
42	1963	1689
43	2008	1643
44	2073	1612
45	2118	1565
46	2168	1522
47	2223	1482
48	2283	1444
49	2345	1407
50	2390	1359
51	2447	1317
52	2502	1274
53	2551	1228
54	2599	1181
55	2647	1134
56	2697	1088
57	2745	1041
58	2788	992
59	2832	944
60	2877	896
61	2922	848
62	2966	800
63	3007	751
64	3063	706
65	3114	660
66	3167	614
67	3215	567
68	3261	519
69	3301	471
70	3340	423
71	3384	376
72	3438	329
73	3489	282
74	3537	235
75	3587	188
76	3647	142
77	3696	94
78	3740	47
79	3778	0
