iter	Passed	Remaining
0	16	1292
1	42	1671
2	82	2111
3	135	2572
4	187	2811
5	235	2902
6	283	2961
7	329	2962
8	374	2954
9	437	3063
10	454	2851
11	501	2840
12	552	2847
13	619	2918
14	667	2893
15	720	2882
16	770	2854
17	817	2816
18	866	2780
19	909	2729
20	951	2671
21	994	2622
22	1040	2578
23	1099	2564
24	1159	2551
25	1214	2522
26	1262	2477
27	1302	2418
28	1341	2359
29	1380	2300
30	1423	2250
31	1461	2192
32	1514	2157
33	1571	2126
34	1627	2092
35	1670	2041
36	1715	1993
37	1765	1951
38	1807	1900
39	1856	1856
40	1905	1812
41	1955	1769
42	2011	1731
43	2050	1677
44	2090	1625
45	2145	1585
46	2184	1533
47	2231	1487
48	2272	1437
49	2318	1391
50	2366	1345
51	2416	1301
52	2468	1257
53	2515	1211
54	2569	1167
55	2626	1125
56	2676	1080
57	2718	1031
58	2756	981
59	2793	931
60	2835	883
61	2889	838
62	2944	794
63	2995	748
64	3045	702
65	3094	656
66	3138	609
67	3202	565
68	3247	517
69	3294	470
70	3343	423
71	3390	376
72	3440	329
73	3493	283
74	3547	236
75	3601	189
76	3656	142
77	3702	94
78	3750	47
79	3796	0
