iter	Logloss
0	0.3072675982
1	0.2372454612
2	0.2067257621
3	0.1948556043
4	0.1876763895
5	0.1842840609
6	0.1807502071
7	0.1793250358
8	0.1782906001
9	0.17614991
10	0.1761495953
11	0.1755109538
12	0.1743832776
13	0.1734745255
14	0.1732612292
15	0.1724615359
16	0.1721823922
17	0.1718699264
18	0.1711438819
19	0.1706951715
20	0.1696131489
21	0.1689070916
22	0.1687222093
23	0.1684247547
24	0.1679356246
25	0.1677217223
26	0.1672597198
27	0.1670476698
28	0.1663824008
29	0.1658084124
30	0.1652949188
31	0.1645909011
32	0.1634826295
33	0.1627578949
34	0.1625966015
35	0.1622530948
36	0.1620086323
37	0.1614172992
38	0.1608622414
39	0.160601747
40	0.1601178983
41	0.1590393342
42	0.1587830083
43	0.1584683426
44	0.1579914636
45	0.1578408203
46	0.1577157934
47	0.1574588125
48	0.1572262728
49	0.1566948544
50	0.1560436182
51	0.1555689784
52	0.1551107885
53	0.1548482878
54	0.1548480369
55	0.1542415743
56	0.1534143473
57	0.1530275429
58	0.1524983886
59	0.1522531099
60	0.1517590096
61	0.1510210063
62	0.150712823
63	0.1504617139
64	0.150080356
65	0.1495233246
66	0.1491597066
67	0.1488043021
68	0.1481187025
69	0.1477931448
70	0.1477699876
71	0.1474365166
72	0.1463776756
73	0.1458027564
74	0.1457500397
75	0.1454481757
76	0.1449211173
77	0.1446047794
78	0.1436901925
79	0.1433231393
