iter	Passed	Remaining
0	32	3222
1	71	3481
2	97	3138
3	129	3101
4	166	3164
5	205	3220
6	244	3252
7	300	3456
8	336	3400
9	373	3362
10	408	3305
11	446	3277
12	466	3121
13	502	3089
14	538	3052
15	573	3012
16	608	2971
17	642	2929
18	680	2901
19	723	2892
20	774	2912
21	814	2886
22	854	2861
23	903	2860
24	953	2861
25	999	2846
26	1045	2827
27	1090	2803
28	1137	2785
29	1175	2742
30	1210	2693
31	1244	2645
32	1281	2601
33	1316	2555
34	1352	2512
35	1392	2475
36	1446	2463
37	1493	2437
38	1544	2415
39	1580	2370
40	1615	2325
41	1655	2286
42	1714	2272
43	1771	2254
44	1814	2218
45	1856	2179
46	1902	2145
47	1943	2105
48	1999	2081
49	2047	2047
50	2086	2004
51	2126	1963
52	2165	1920
53	2207	1880
54	2244	1836
55	2284	1795
56	2323	1752
57	2365	1712
58	2404	1670
59	2445	1630
60	2493	1594
61	2533	1552
62	2574	1511
63	2613	1469
64	2661	1433
65	2704	1393
66	2755	1357
67	2807	1320
68	2852	1281
69	2888	1238
70	2927	1195
71	2971	1155
72	3016	1115
73	3065	1077
74	3117	1039
75	3169	1000
76	3211	959
77	3248	916
78	3294	875
79	3343	835
80	3389	794
81	3432	753
82	3470	710
83	3510	668
84	3548	626
85	3584	583
86	3625	541
87	3662	499
88	3704	457
89	3754	417
90	3797	375
91	3840	333
92	3877	291
93	3913	249
94	3949	207
95	3986	166
96	4022	124
97	4060	82
98	4098	41
99	4144	0
