iter	Passed	Remaining
0	15	1255
1	39	1527
2	82	2116
3	125	2379
4	171	2573
5	211	2611
6	252	2634
7	290	2614
8	329	2599
9	368	2579
10	407	2556
11	450	2550
12	494	2549
13	510	2408
14	550	2384
15	596	2386
16	646	2394
17	684	2357
18	721	2316
19	762	2288
20	801	2251
21	845	2229
22	912	2260
23	963	2248
24	1012	2226
25	1071	2225
26	1115	2190
27	1175	2183
28	1226	2156
29	1272	2120
30	1324	2093
31	1378	2067
32	1428	2034
33	1495	2023
34	1541	1981
35	1592	1946
36	1629	1893
37	1670	1846
38	1724	1813
39	1771	1771
40	1814	1725
41	1874	1695
42	1925	1656
43	1973	1614
44	2022	1573
45	2072	1531
46	2117	1486
47	2157	1438
48	2201	1393
49	2257	1354
50	2314	1316
51	2360	1271
52	2408	1227
53	2450	1179
54	2494	1133
55	2542	1089
56	2587	1044
57	2634	999
58	2678	953
59	2720	906
60	2770	862
61	2818	818
62	2871	774
63	2920	730
64	2985	688
65	3034	643
66	3083	598
67	3132	552
68	3179	506
69	3226	460
70	3271	414
71	3312	368
72	3357	321
73	3401	275
74	3444	229
75	3483	183
76	3532	137
77	3582	91
78	3634	46
79	3685	0
